               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092285,            0.017639,            0.037212,          0.00093407,             0.51394,            0.016574,           0.0048103,            0.061145,            0.011598,            0.025139,            0.070508,           0.0032768,           0.0032768
                   1,            0.066445,            0.010871,            0.029243,          0.00080563,             0.74424,             0.07032,            0.025516,            0.050267,           0.0066559,            0.019219,            0.040072,           0.0061739,           0.0061739
                   2,            0.057442,           0.0077498,              0.0203,          0.00090079,             0.70424,            0.027803,           0.0077872,            0.051516,           0.0048945,            0.014599,           0.0091959,            0.008631,            0.008631
                   3,            0.062053,           0.0066708,            0.014397,            0.001172,              0.6703,            0.084353,            0.019879,             0.04482,           0.0048266,            0.029637,             0.00802,             0.00802,             0.00802
                   4,            0.060947,           0.0064124,             0.01129,           0.0014622,             0.65333,              0.2806,              0.1463,            0.041611,           0.0043088,            0.011074,             0.00802,             0.00802,             0.00802
                   5,            0.057016,           0.0065275,             0.01322,           0.0011286,             0.62727,            0.098681,             0.05598,             0.04107,           0.0051516,            0.015554,             0.00736,             0.00736,             0.00736
                   6,             0.04935,           0.0057312,           0.0098402,           0.0017432,             0.71212,             0.15449,            0.065808,            0.046311,           0.0050588,            0.015782,              0.0067,              0.0067,              0.0067
                   7,            0.050605,           0.0055735,            0.010819,             0.89965,             0.15333,             0.48017,             0.24263,            0.034968,           0.0043938,           0.0073972,             0.00604,             0.00604,             0.00604
                   8,            0.047313,           0.0062698,            0.006409,             0.95129,             0.28495,             0.53906,             0.25832,            0.032634,           0.0041754,            0.011125,             0.00538,             0.00538,             0.00538
                   9,            0.047401,           0.0057268,           0.0060518,             0.84502,                0.58,             0.67872,              0.4134,            0.030101,           0.0036861,           0.0025846,             0.00472,             0.00472,             0.00472
                  10,            0.039744,           0.0048988,           0.0045574,             0.94183,             0.40391,             0.53125,             0.38484,            0.032289,            0.003673,           0.0059927,             0.00406,             0.00406,             0.00406
                  11,            0.039695,           0.0050038,           0.0055113,             0.95566,             0.46295,             0.69054,             0.43824,            0.027888,           0.0032156,           0.0018137,              0.0034,              0.0034,              0.0034
                  12,             0.03719,           0.0048047,           0.0035005,             0.98459,             0.57333,             0.74746,             0.51149,            0.026611,           0.0028966,            0.002235,             0.00274,             0.00274,             0.00274
                  13,            0.038642,           0.0047655,           0.0038024,             0.98948,             0.57333,              0.7786,             0.53254,            0.027159,           0.0028111,           0.0014188,             0.00208,             0.00208,             0.00208
                  14,            0.035789,           0.0048511,           0.0040353,             0.98445,             0.57812,             0.77564,             0.54666,            0.023885,            0.002729,           0.0012714,             0.00142,             0.00142,             0.00142
